"","prey","bait","Specificity_score","In_frame_score","In_frame_prey_transcripts","Sum_scores","Borda_scores","interactor","SNRFPKM"
"7847","AT3G57300","NINJA_SE",0.297528341571549,0.909034267912773,"AT3G57300.3",1.20656260948432,5.01121233356692,NA,0
"7848","AT3G57320","NINJA_SE",0,1,"AT3G57320.2",1,2.06427712292519,NA,0
"7849","AT3G57330","NINJA_SE",0.38800822090649,0.298182762201454,"AT3G57330.1,AT3G57330.2",0.686190983107943,4.93910440888684,NA,0
"7850","AT3G57340","NINJA_SE",0,1,"AT3G57340.1",1,2.06407851060759,NA,0
"7851","AT3G57350","NINJA_SE",0,0.298182762201454,"AT3G57350.1",0.298182762201454,1.72805992992066,NA,0
"7852","AT3G57360","NINJA_SE",0.416955011008993,0,"0",0.416955011008993,2.36110499669822,NA,0
"7853","AT3G57380","NINJA_SE",0.33566059471423,0,"0",0.33566059471423,2.01910588235294,NA,0
"7854","AT3G57390","NINJA_SE",0,0.298182762201454,"AT3G57390.1,AT3G57390.2,AT3G57390.3",0.298182762201454,1.727920744231,NA,0
"7855","AT3G57410","NINJA_SE",0.408410865586419,0,"0",0.408410865586419,2.3193686145197,NA,0
"7856","AT3G57420","NINJA_SE",0.38109532389011,0,"0",0.38109532389011,2.19647793590662,NA,0
"7857","AT3G57440","NINJA_SE",0.307346856405544,0,"0",0.307346856405544,1.92179521633969,NA,0
"7858","AT3G57450","NINJA_SE",0.375480228268567,0.298182762201454,"AT3G57450.1",0.673662990470021,4.68201658664339,NA,0
"7859","AT3G57470","NINJA_SE",0.361052201900657,0,"0",0.361052201900657,2.11411677753141,NA,0
"7860","AT3G57480","NINJA_SE",0.0821014010130188,0,"0",0.0821014010130188,1.39065893106019,NA,0
"7861","AT3G57490","NINJA_SE",0.279096816454176,0.900155763239875,"AT3G57490.1",1.17925257969405,4.60958315427589,NA,0
"7862","AT3G57520","NINJA_SE",0.0756119838523158,0,"0",0.0756119838523158,1.37970287478294,NA,0
"7863","AT3G57540","NINJA_SE",0.0623868707931199,0,"0",0.0623868707931199,1.35761296038476,NA,0
"7864","AT3G57560","NINJA_SE",0.318343262816933,0.598857736240914,"AT3G57560.1",0.917200999057846,4.51594568992738,NA,0
"7865","AT3G57590","NINJA_SE",0.304684853973886,0,"0",0.304684853973886,1.91118040089087,NA,0
"7866","AT3G57630","NINJA_SE",0,1,"AT3G57630.1,AT3G57630.2",1,2.06368140060603,NA,0
"7867","AT3G57645","NINJA_SE",0.0488211132547787,0,"0",0.0488211132547787,1.33572006724363,NA,0
"7868","AT3G57650","NINJA_SE",0.0678162006670454,0.298182762201454,"AT3G57650.1",0.365998962868499,2.06209448743211,NA,0
"7869","AT3G57660","NINJA_SE",0.115298376814413,0,"0",0.115298376814413,1.44918431452021,NA,0
